addendum	addenda
alumnus	alumni
analysis	analyses
appendix	appendices
axis	axes
bacillus	bacilli
bacterium	bacteria
basis	bases
bison	bison
cactus	cacti
calf	calves
corps	corps
corpus	corpora
crisis	crises
criterion	criteria
curriculum	curricula
datum	data
deer	deer
die	dice
dwarf	dwarves
diagnosis	diagnoses
elf	elves
ellipsis	ellipses
emphasis	emphases
erratum	errata
fireman	firemen
fish	fish
foot	feet
fungus	fungi
genus	genera
goose	geese
half	halves
hippopotamus	hippopotami
hoof	hooves
hypothesis	hypotheses
index	indices
knife	knives
leaf	leaves
life	lives
loaf	loaves
louse	lice
man	men
matrix	matrices
means	means
medium	media
memorandum	memoranda
millennium	milennia
moose	moose
mouse	mice
neurosis	neuroses
nucleus	nuclei
oasis	oases
octopus	octopi
ovum	ova
paralysis	paralyses
parenthesis	parentheses
person	people
phenomenon	phenomena
radius	radii
scarf	scarves
self	selves
series	series
sheep	sheep
shelf	shelves
scissors	scissors
species	species
stimulus	stimuli
stratum	strata
syllabus	syllabi
symposium	symposia
synthesis	syntheses
synopsis	synopses
that	those
thesis	theses
thief	thieves
this	these
tooth	teeth
wife	wives
wolf	wolves
woman	women
